网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
OptiX OSN 1800 V,NE=3146205,H43277-耶喜巫感泸,1453386,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月11日 18时01分21秒 GMT+08:00,,2020年11月11日 18时01分41秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,61)",,,,,13107,,是,正常清除,是,2020年11月11日 18时00分52秒 GMT+08:00,965868,0,,,0
OSS,OS=1,OSS,1078381940,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月11日 18时00分55秒 GMT+08:00,,2020年11月11日 18时01分23秒 GMT+08:00,, < 网元 > ,耶喜事啸专网,,,,(衍生告警),20,,是,正常清除,,2020年11月11日 18时00分55秒 GMT+08:00,948130,0,,366952867,0
OptiX OSN 1800 V,NE=3146206,H50957-九喜巫感泸,544982,ETH_LINK_DOWN,通信质量,次要,未确认已清除 告警,2020年11月11日 18时01分49秒 GMT+08:00,,2020年11月11日 18时01分52秒 GMT+08:00,, < 网元 > ,0-历诚室巫感-13-F5HUNQ2-40001(V_ETH-1)-MAC:1,,,,,12793,,是,正常清除,是,2020年11月11日 18时01分26秒 GMT+08:00,1065460,366952920,,,0
OptiX OSN 1800 V,NE=3146246,H12855-记庆猿事啸,16856468,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月11日 18时01分25秒 GMT+08:00,,2020年11月11日 18时01分45秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,2020年11月11日 18时00分57秒 GMT+08:00,618931,0,,,0
OptiX OSN 1800 V,NE=3146246,H12855-记庆猿事啸,16856469,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月11日 18时01分25秒 GMT+08:00,,2020年11月11日 18时01分45秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,2020年11月11日 18时00分57秒 GMT+08:00,913903,0,,,0
OptiX OSN 1800 V,NE=3146148,H33293-记守巫感泸,2949542,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月11日 18时01分30秒 GMT+08:00,,2020年11月11日 18时01分50秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,70)",,,,,13107,,是,正常清除,是,2020年11月11日 18时01分01秒 GMT+08:00,1025752,0,,,0
OptiX OSN 1800 V,NE=3146053,H30477-哉之巫感泸,1284351,PW_NO_TRAFFIC,通信质量,次要,未确认已清除 告警,2020年11月11日 18时01分31秒 GMT+08:00,,2020年11月11日 18时01分51秒 GMT+08:00,, < 网元 > ,"L2VPN PW:(以太,71)",,,,,13107,,是,正常清除,是,2020年11月11日 18时01分02秒 GMT+08:00,988794,0,,,0
OSS,OS=1,OSS,1078381933,SERVICE_OUTAGE,业务质量,重要,未确认已清除 告警,2020年11月11日 18时00分34秒 GMT+08:00,,2020年11月11日 18时01分32秒 GMT+08:00,, < 网元 > ,哉之事啸专网,,,,(衍生告警),20,,是,正常清除,,2020年11月11日 18时00分34秒 GMT+08:00,946695,0,,366952825,0
OptiX OSN 8800 T32,NE=3146825,H701-猿尝记庆潇湘陵求人,368686,REM_SF,通信质量,次要,未确认已清除 告警,2020年11月11日 18时02分45秒 GMT+08:00,,2020年11月11日 18时02分53秒 GMT+08:00,, < 网元 > ,5-属予方向-6-52TOM-203(ClientLP3/ClientLP3)-CLIENT:1:2,,,,,63604,,是,正常清除,是,2020年11月11日 18时01分23秒 GMT+08:00,1065767,0,,,0
WDM_OADM,ONE=4063255,H222-是浮烟中州巫峡,1493549,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年11月11日 18时01分34秒 GMT+08:00,,2020年11月11日 18时01分41秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,2020年11月11日 18时01分23秒 GMT+08:00,1019205,0,,,0
