日志流水号,FDNName,对象标识,产品名称,网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,附加信息,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
372476607,"NE=3145761,FR=0,S=5,CP=-1,PP=3||7|,CLIENT=1","NE=3145761,FR=0,S=5,CP=-1,PP=3||7|,CLIENT=1",移动,OptiX OSN 8800 T32,NE=3145761,H734-省干南京河西七楼,607965,R_LOS,通信质量,重要,未确认已清除 告警,2020年12月17日 16时55分12秒 GMT+08:00,,2020年12月17日 16时55分19秒 GMT+08:00,, < 网元 > ,0-鼓楼方向-5-52TOM-7(RX5/TX5)-CLIENT:1,,,,,1,,是,正常清除,是,,2020年12月17日 16时54分41秒 GMT+08:00,1086649,0,,,0
372476608,"ONE=4063350,NE=3145999,FR=3,S=4,CP=-1,PP=3||72|,OTU2=1","ONE=4063350,NE=3145999,FR=3,S=4,CP=-1,PP=3||72|,OTU2=1",移动,WDM_OADM,ONE=4063350,H10034-苏州国信汇聚层,3429404,OTU2_BDI,通信质量,提示,未确认已清除 告警,2020年12月17日 16时54分38秒 GMT+08:00,,2020年12月17日 16时54分42秒 GMT+08:00,, < 网元 > ,3-4D-业务子架-4-52NQ2-72(ODU2LP2/ODU2LP2)-OTU2:1,,,,,12328,,是,正常清除,,,2020年12月17日 16时54分41秒 GMT+08:00,1088129,0,,,0
372476494,"NE=3146067,FR=1,S=7,CP=-1,PP=3||3|,CLIENT=1","NE=3146067,FR=1,S=7,CP=-1,PP=3||3|,CLIENT=1",移动,OptiX OSN 9600,NE=3146067,H1009-省干无锡蠡园四楼光子架,340564,RMON_ALM_INBADOCTS_OVER,业务质量,次要,未确认已清除 告警,2020年12月17日 16时54分21秒 GMT+08:00,,2020年12月17日 16时55分21秒 GMT+08:00,, < 网元 > ,1-1-常州方向备(奇)-7-18LSC-3(RX/TX)-CLIENT:1,,,,,299,,是,正常清除,是,,2020年12月17日 16时53分47秒 GMT+08:00,1092847,0,,,0
372476044,"ONE=4063345,NE=3145945,FR=0,S=34,CP=-1,PP=3||1|,CLIENT=1","ONE=4063345,NE=3145945,FR=0,S=34,CP=-1,PP=3||1|,CLIENT=1",移动,WDM_OADM,ONE=4063345,H10007-苏州园区骨干层,910832,INTRA_OTU_PS,通信质量,次要,未确认已清除 告警,2020年12月17日 16时50分20秒 GMT+08:00,,2020年12月17日 16时55分46秒 GMT+08:00,, < 网元 > ,0-1C-34-12DCP-1(RI11/TO11)-CLIENT:1,,,,,12539,,是,正常清除,,,2020年12月17日 16时49分36秒 GMT+08:00,1088162,0,,,0
372476643,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1615071,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月17日 16时55分19秒 GMT+08:00,,2020年12月17日 16时55分26秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月17日 16时54分56秒 GMT+08:00,1084204,0,,,0
372476648,"ONE=4063537,NE=3145829,FR=0,S=3,CP=-1,PP=3||73|,OTU2=1","ONE=4063537,NE=3145829,FR=0,S=3,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063537,H0014-南通联通大厦2(市县2),2033527,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月17日 16时55分38秒 GMT+08:00,,2020年12月17日 16时55分45秒 GMT+08:00,, < 网元 > ,0-业务子架-3-54NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月17日 16时55分02秒 GMT+08:00,1088125,0,,,0
372476609,"NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1","NE=3146747,FR=5,S=34,CP=-1,PP=3||4|,PATH=OCh:1-OTU2:1",移动,OptiX OSN 8800 T32,NE=3146747,H710-省干南京河西7楼,753064,BEFFEC_EXC,业务质量,提示,未确认已清除 告警,2020年12月17日 16时57分01秒 GMT+08:00,,2020年12月17日 16时57分37秒 GMT+08:00,, < 网元 > ,5-subrack-34-53NQ2-4(IN4/OUT4)-OCh:1-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月17日 16时54分41秒 GMT+08:00,1088150,0,,,0
372476685,"ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1","ONE=4063255,NE=3145767,FR=2,S=11,CP=-1,PP=3||73|,OTU2=1",移动,WDM_OADM,ONE=4063255,H222-盐城滨海分公司,1615072,BEFFEC_EXC,业务质量,次要,未确认已清除 告警,2020年12月17日 16时55分38秒 GMT+08:00,,2020年12月17日 16时55分42秒 GMT+08:00,, < 网元 > ,2-业务子架-11-52NQ2-73(ODU2LP3/ODU2LP3)-OTU2:1,,,,,335,,是,正常清除,是,,2020年12月17日 16时55分16秒 GMT+08:00,1084204,0,,,0
372476615,"NE=3146825,FR=0,S=24,CP=-1,PP=3||1|,OCH=1","NE=3146825,FR=0,S=24,CP=-1,PP=3||1|,OCH=1",移动,OptiX OSN 8800 T32,NE=3146825,H701-省干南京丹凤街四楼,394266,IN_PWR_HIGH,设备故障,重要,未确认已清除 告警,2020年12月17日 16时57分11秒 GMT+08:00,,2020年12月17日 16时57分47秒 GMT+08:00,, < 网元 > ,0-鼓楼方向-24-52NQ2-1(IN1/OUT1)-OCH:1,,,,,31,,是,正常清除,是,,2020年12月17日 16时54分46秒 GMT+08:00,1086648,0,,,0
372418008,"NE=3146361,FR=0,S=18,CP=-1,PP=3||13|,CLIENT=1","NE=3146361,FR=0,S=18,CP=-1,PP=3||13|,CLIENT=1",移动,OptiX OSN 9600 U32,NE=3146361,H12907-南京尧佳路-电子架,13762,R_LOS,通信质量,紧急,未确认已清除 告警,2020年12月17日 10时10分33秒 GMT+08:00,,2020年12月17日 16时55分18秒 GMT+08:00,, < 网元 > ,0-subrack-18-Y1C130-13(RX13/TX13)-CLIENT:1,,,,,1,,是,正常清除,是,"槽位=18,子槽=255,端口=13,分组=1
",2020年12月17日 10时10分46秒 GMT+08:00,1101371,0,,,0
