
Device-id, Errortype, Start-time, End-Time, Repeat Times
1084-0-23-Y1C130-18,OPU0_CSF,2018/9/9 18:19:21,2018/9/10 15:21:6,58
1023-0-50-Y1C130-9,OPU0_CSF,2018/9/10 9:39:26,2018/9/10 10:19:53,2
1084-0-23-Y1C130-18,OPU0_CSF,2018/9/10 16:0:21,2018/9/10 17:1:14,3
1048-0-4-X3L401-1,ODU_SNCP_STA_INDI,2018/9/9 18:3:27,2018/9/9 18:13:31,2
1062-0-37-X3L401-1,ODU_SNCP_STA_INDI,2018/9/9 18:2:49,2018/9/9 18:12:53,2
1022-2-6-12OLP-1,POWER_DIFF_OVER,2018/9/10 23:57:45,2018/9/10 23:57:50,2
1002-0-54-Y2C210-7,RMON_ALM_INBADOCTS_OVER,2018/9/10 4:17:54,2018/9/11 1:42:51,3
1023-0-50-Y1C130-9,OPU0_CSF,2018/9/10 22:59:43,2018/9/10 23:39:53,2
1048-0-4-X3L401-1,ODU_SNCP_STA_INDI,2018/9/10 17:48:10,2018/9/10 18:11:14,5
1048-0-4-X3L401-1,ODU_SNCP_PS,2018/9/10 17:48:15,2018/9/10 18:11:14,2
1042-0-5-X3L401-1,ODU_SNCP_STA_INDI,2018/9/10 17:48:19,2018/9/10 17:48:24,9
1042-0-5-X3L401-1,ODU_SNCP_PS,2018/9/10 17:48:24,2018/9/10 17:58:23,3
1063-0-10-12OLP-1,OLP_STA_INDI,2018/9/10 23:57:47,2018/9/11 0:49:28,2
1023-0-50-Y1C130-9,OPU0_CSF,2018/9/11 14:19:45,2018/9/11 15:19:52,2
1068-0-2-13OAU1-1,MUT_LOS,2018/9/10 23:57:46,2018/9/11 0:49:11,2
1068-0-3-11SFIU-1,MUT_LOS,2018/9/10 23:57:48,2018/9/11 0:49:20,2
1063-0-10-12OLP-1,OLP_STA_INDI,2018/9/11 17:42:40,2018/9/11 17:51:26,2
1063-0-10-12OLP-1,POWER_DIFF_OVER,2018/9/11 0:41:25,2018/9/11 0:49:28,3
1067-0-2-13OAU1-1,MUT_LOS,2018/9/10 23:57:51,2018/9/11 0:49:16,2
1022-2-6-12OLP-1,OLP_STA_INDI,2018/9/11 17:44:1,2018/9/11 17:50:55,2
1067-0-3-11SFIU-1,MUT_LOS,2018/9/10 23:57:53,2018/9/11 0:49:26,2
1063-0-10-12OLP-1,MUT_LOS,2018/9/10 23:57:53,2018/9/11 0:49:19,2
1063-0-14-13OAU1-1,MUT_LOS,2018/9/10 23:57:54,2018/9/11 0:49:19,2
1063-0-6-11SFIU-1,MUT_LOS,2018/9/10 23:57:56,2018/9/11 0:49:28,2
1068-0-2-13OAU1-3,SUM_INPWR_LOW,2018/9/11 0:48:49,2018/9/11 0:49:14,2
1068-0-2-13OAU1-1,SUM_INPWR_LOW,2018/9/11 0:41:17,2018/9/11 0:49:16,3
1067-0-2-13OAU1-1,SUM_INPWR_LOW,2018/9/11 0:48:54,2018/9/11 0:49:21,2
1063-0-14-13OAU1-3,SUM_INPWR_LOW,2018/9/11 0:41:25,2018/9/11 0:49:24,3
1063-0-14-13OAU1-1,SUM_INPWR_LOW,2018/9/11 0:41:25,2018/9/11 0:49:24,3
1018-2-6-12OLP-2,POWER_DIFF_OVER,2018/9/11 23:54:43,2018/9/11 23:54:54,3
1018-2-6-12OLP-1,OLP_STA_INDI,2018/9/11 23:54:42,2018/9/12 0:49:40,3
1018-2-6-12OLP-2,POWER_DIFF_OVER,2018/9/12 0:47:38,2018/9/12 0:49:40,2
1022-2-6-12OLP-1,OLP_STA_INDI,2018/9/11 23:54:57,2018/9/12 0:46:20,2
