网元类型,网元子设备编号,网元名称,设备告警流水号,告警名称,告警类型,告警级别,告警状态,发生时间,确认时间,清除时间,(反)确认操作员,清除操作员,定位信息,链路标识,链路名称,链路类型,告警标识,告警ID,对象实例类型,自动清除,告警清除类型,影响业务标识,到达网管UTC时间,列表流水号,关联日志id,代理ID,根源告警ID,告警是否被隐藏（屏蔽）
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63150,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 07时45分29秒 GMT+08：00,,2020年11月05日 08时08分47秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 07时48分50秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63162,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 08时06分39秒 GMT+08：00,,2020年11月05日 08时28分52秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 08时08分47秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146060,H1023-猿尝记庆属予为人电子架,23338,RMON_ALM_INBADOCTS_OVER,业务质量,次要,未确认已清除 告警,2020年11月05日 08时30分40秒 GMT+08：00,,2020年11月05日 08时30分50秒 GMT+08：00,, < 网元 > ,0-帝昭:记庆物人/之观方向 平昭:谁感春谪也-22-Y3C210-9(RX9/TX9)-CLIENT:1,,,,,299,,是,正常清除,是,2020年11月5日 08时30分38秒 GMT+08:00,1064060,0,,,0
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63169,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 08时28分41秒 GMT+08：00,,2020年11月05日 08时53分25秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 08时28分52秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63178,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 08时50分30秒 GMT+08：00,,2020年11月05日 09时08分49秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 08时53分25秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63182,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 09时06分19秒 GMT+08：00,,2020年11月05日 09时28分52秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 09时08分49秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63187,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 09时21分40秒 GMT+08：00,,2020年11月05日 09时49分01秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 09时28分52秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146776,H1084-猿尝记庆之观而人电子架,63196,OPU0_CSF,通信质量,次要,未确认已清除 告警,2020年11月05日 09时46分52秒 GMT+08：00,,2020年11月05日 10时08分50秒 GMT+08：00,, < 网元 > ,0-帝昭物人;平昭属予-23-Y1C130-18(RX18/TX18属予之观W-GE0096ZX)-ODU0:1,,,,,13082,,是,正常清除,是,2020年11月5日 09时49分01秒 GMT+08:00,1061838,0,,,0
OptiX OSN 9600 U64,NE=3146785,H1042-猿尝是浮吾发远一人电子架,3650,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年11月05日 10时28分07秒 GMT+08：00,,2020年11月05日 10时28分11秒 GMT+08：00,, < 网元 > ,0-帝昭连高民中理也;平昭记守通远-5-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU2:3,,,,,13142,,是,正常清除,,2020年11月5日 10时28分04秒 GMT+08:00,1064698,0,,,0
OptiX OSN 9600 U64,NE=3146785,H1042-猿尝是浮吾发远一人电子架,3651,ODU_SNCP_STA_INDI,通信质量,次要,未确认已清除 告警,2020年11月05日 10时28分07秒 GMT+08：00,,2020年11月05日 10时28分11秒 GMT+08：00,, < 网元 > ,0-帝昭连高民中理也;平昭记守通远-5-X3L401-1(IN1/OUT1)-OCh:1-ODU4:1-ODU2:4,,,,,13142,,是,正常清除,,2020年11月5日 10时28分04秒 GMT+08:00,1064699,0,,,0
